"","x"
"458","PAX1"
"459","PAX2"
"460","PAX3"
"461","PAX4"
"462","PAX5"
"463","PAX6"
"464","PAX7"
"465","PAX9"
"466","PBX1"
"467","PBX2"
"468","PBX3"
"469","PCBD1"
"470","PEG3"
"471","PER1"
"472","PGR"
"473","PHF1"
"474","PHF2"
"475","PITX1"
"476","PITX2"
"477","PITX3"
"478","PKNOX1"
"479","PLAG1"
"480","PLAGL1"
"481","PLAGL2"
"482","PLRG1"
"483","PML"
"484","PMS1"
"485","PMS2L3"
"486","PRRX1"
"487","PNN"
"488","POLR2A"
"489","POLR2B"
"490","POLR2C"
"491","POLR2D"
"492","POLR2E"
"493","POLR2F"
"494","POLR2G"
"495","POLR2H"
"496","POLR2I"
"497","POLR2J"
"498","POLR2K"
"499","POLR2L"
"500","POU1F1"
"501","POU2AF1"
"502","POU2F1"
"503","POU2F2"
"504","POU3F1"
"505","POU3F2"
"506","POU3F3"
"507","POU3F4"
"508","POU4F1"
"509","POU4F2"
"510","POU4F3"
"511","POU5F1"
"512","POU5F1P1"
"513","POU6F1"
"514","PPARA"
"515","PPARD"
"516","PPARG"
"517","PPARBP"
"518","EIF2AK2"
"519","PROP1"
"520","PROX1"
"521","PTMA"
"522","PURA"
"523","RAD51"
"524","RAD51L1"
"525","RARA"
"526","RARB"
"527","RARG"
"528","RB1"
"529","ARID4A"
"530","JARID1A"
"531","RBBP4"
"532","RBBP7"
"533","RBL1"
"534","RBL2"
"535","REL"
"536","RELA"
"537","RELB"
"538","UPF1"
"539","DPF2"
"540","REST"
"541","RFC1"
"542","RFP"
"543","RFX1"
"544","RFX2"
"545","RFX3"
"546","RFX4"
"547","RFX5"
"548","RFXAP"
"549","RING1"
"550","RLF"
"551","RNF2"
"552","RNF4"
"553","RNF6"
"554","RORA"
"555","RORB"
"556","RORC"
"557","RREB1"
"558","RXRA"
"559","RXRB"
"560","RXRG"
"561","SAFB"
"562","SALL2"
"563","SALL1"
"564","SATB1"
"565","SCML1"
"566","SFPQ"
"567","SFRS1"
"568","SFRS2"
"569","SFRS3"
"570","SFRS5"
"571","SFRS6"
"572","SFRS8"
"573","SHOX1"
"574","SHOX2"
"575","SIM1"
"576","SIM2"
"577","SIX1"
"578","SIX3"
"579","SKI"
"580","SKIL"
"581","SNAI2"
"582","SMARCA1"
"583","SMARCA2"
"584","SMARCA3"
"585","SMARCA4"
"586","SMARCB1"
"587","SMARCC1"
"588","SMARCC2"
"589","SMARCD1"
"590","SMARCD2"
"591","SMARCD3"
"592","SMARCE1"
"593","SNAI1"
"594","SNAPC1"
"595","SNAPC2"
"596","SNAPC3"
"597","SNAPC4"
"598","SNRPB"
"599","SNRPD1"
"600","SOLH"
"601","SOX1"
"602","SOX2"
"603","SOX3"
"604","SOX4"
"605","SOX5"
"606","SOX9"
"607","SOX10"
"608","SOX11"
"609","SOX15"
"610","SOX12"
"611","SP1"
"612","SP2"
"613","SP3"
"614","SP4"
"615","SP100"
"616","SPI1"
"617","SPIB"
"618","SREBF1"
"619","SREBF2"
"620","SRF"
"621","SRY"
"622","TRIM21"
"623","SSB"
"624","SSRP1"
"625","SSX1"
"626","SSX2"
"627","SSX5"
"628","SSX4"
"629","STAT1"
"630","STAT2"
"631","STAT3"
"632","STAT4"
"633","STAT5A"
"634","STAT5B"
"635","STAT6"
"636","SUPT4H1"
"637","SUPT5H"
"638","SUPT6H"
"639","T"
"640","TADA2L"
"641","TAF1"
"642","TAF4"
"643","TAF4B"
"644","TAF5"
"645","TAF6"
"646","TAF7"
"647","TAF9"
"648","TAF10"
"649","TAF11"
"650","TAF12"
"651","TAF13"
"652","TAL1"
"653","TAL2"
"654","TARBP1"
"655","TARBP2"
"656","TBX1"
"657","TBL1X"
"658","TBP"
"659","TBX2"
"660","TBX5"
"661","TBX6"
"662","TBX15"
"663","TCEA1"
"664","TCEA2"
"665","TCEA3"
"666","TCEB1"
"667","TCEB2"
"668","TCEB3"
"669","TCF4"
"670","TBX3"
"671","TCF1"
"672","TCF2"
"673","TCF3"
"674","TCF7"
"675","TCF7L2"
"676","TCF8"
"677","C2orf3"
"678","TCF12"
"679","TCF15"
"680","ZNF354A"
"681","TCF19"
"682","TCF20"
"683","TCF21"
"684","MLX"
"685","TCOF1"
"686","TEAD1"
